time_s,tilt_deg,rate_dps,arm_l,arm_r,target_l,target_r,torque_l,torque_r,phase,supported,wheel_rad_s
22.580000000000002,14.640672571421446,-6.600538750674557,-0.5775059709567779,0.5775059709567779,-0.5632393956184387,0.5632393956184387,0.705332903871414,-0.705332903871414,3,1.0,0
22.6,14.508655369737609,-6.599335410606225,-0.5743059763927215,0.5743059763927215,-0.5600394010543823,0.5600394010543823,0.705332903871414,-0.705332903871414,3,1.0,0
22.62,14.376662133548624,-6.598141247590846,-0.5711059818286651,0.5711059818286651,-0.5568394064903259,0.5568394064903259,0.705332903871414,-0.705332903871414,3,1.0,0
22.64,14.244692679489118,-6.5969562435929054,-0.5679059872646087,0.5679059872646087,-0.5536394119262695,0.5536394119262695,0.705332903871414,-0.705332903871414,3,1.0,0
22.66,14.112746824552618,-6.5957803807423545,-0.5647059927005523,0.5647059927005523,-0.5504394173622131,0.5504394173622131,0.705332903871414,-0.705332903871414,3,1.0,0
22.68,13.980824386088244,-6.5946136413339715,-0.5615059981364959,0.5615059981364959,-0.5472394227981567,0.5472394227981567,0.705332903871414,-0.705332903871414,3,1.0,0
22.7,13.848925181797423,-6.593456007826688,-0.5583060035724395,0.5583060035724395,-0.5440394282341003,0.5440394282341003,0.705332903871414,-0.705332903871414,3,1.0,0
22.72,13.717049029730614,-6.592307462843004,-0.5551060090083831,0.5551060090083831,-0.540839433670044,0.540839433670044,0.705332903871414,-0.705332903871414,3,1.0,0
22.740000000000002,13.585195748284036,-6.591167989168366,-0.5519060144443267,0.5519060144443267,-0.5376394391059875,0.5376394391059875,0.705332903871414,-0.705332903871414,3,1.0,0
22.76,13.453365156196426,-6.590037569750565,-0.5487060198802703,0.5487060198802703,-0.5344394445419312,0.5344394445419312,0.705332903871414,-0.705332903871414,3,1.0,0
22.78,13.321557072545785,-6.588916187699109,-0.545506025316214,0.545506025316214,-0.5312394499778748,0.5312394499778748,0.705332903871414,-0.705332903871414,3,1.0,0
22.8,13.189771316746164,-6.587803826284603,-0.5423060307521576,0.5423060307521576,-0.5280394554138184,0.5280394554138184,0.705332903871414,-0.705332903871414,3,1.0,0
22.82,13.058007708544437,-6.586700468938214,-0.5391060361881012,0.5391060361881012,-0.524839460849762,0.524839460849762,0.705332903871414,-0.705332903871414,3,1.0,0
22.84,12.926266068017103,-6.58560609925101,-0.5359060416240448,0.5359060416240448,-0.5216394662857056,0.5216394662857056,0.705332903871414,-0.705332903871414,3,1.0,0
22.86,12.794546215567093,-6.584520700973438,-0.5327060470599884,0.5327060470599884,-0.5184394717216492,0.5184394717216492,0.705332903871414,-0.705332903871414,3,1.0,0
22.88,12.662847971920584,-6.583444258014691,-0.529506052495932,0.529506052495932,-0.5152394771575928,0.5152394771575928,0.705332903871414,-0.705332903871414,3,1.0,0
22.900000000000002,12.531171158123835,-6.582376754442161,-0.5263060579318756,0.5263060579318756,-0.5120394825935364,0.5120394825935364,0.705332903871414,-0.705332903871414,3,1.0,0
22.92,12.399515595540027,-6.581318174480857,-0.5231060633678192,0.5231060633678192,-0.50883948802948,0.50883948802948,0.705332903871414,-0.705332903871414,3,1.0,0
22.94,12.267881105846117,-6.580268502512835,-0.5199060688037628,0.5199060688037628,-0.5056394934654236,0.5056394934654236,0.705332903871414,-0.705332903871414,3,1.0,0
22.96,12.136267511029704,-6.579227723076668,-0.5167060742397064,0.5167060742397064,-0.5024394989013672,0.5024394989013672,0.705332903871414,-0.705332903871414,3,1.0,0
22.98,12.004674633385903,-6.578195820866851,-0.51350607967565,0.51350607967565,-0.4992395043373108,0.4992395043373108,0.705332903871414,-0.705332903871414,3,1.0,0
23.0,11.873102295514231,-6.577172780733273,-0.5103060851115936,0.5103060851115936,-0.4960395097732544,0.4960395097732544,0.705332903871414,-0.705332903871414,3,1.0,0
23.02,11.741550320315502,-6.5761585876806485,-0.5071060905475372,0.5071060905475372,-0.492839515209198,0.492839515209198,0.705332903871414,-0.705332903871414,3,1.0,0
23.04,11.610018530988752,-6.575153226867997,-0.5039060959834808,0.5039060959834808,-0.4896395206451416,0.4896395206451416,0.705332903871414,-0.705332903871414,3,1.0,0
23.06,11.478506751028139,-6.574156683608121,-0.5007061014194244,0.5007061014194244,-0.4864395260810852,0.4864395260810852,0.705332903871414,-0.705332903871414,3,1.0,0
23.080000000000002,11.347014804219882,-6.573168943367037,-0.497506106855368,0.497506106855368,-0.4832395315170288,0.4832395315170288,0.705332903871414,-0.705332903871414,3,1.0,0
23.1,11.215542514639203,-6.572189991763503,-0.4943061122913116,0.4943061122913116,-0.4800395369529724,0.4800395369529724,0.705332903871414,-0.705332903871414,3,1.0,0
23.12,11.084089706647273,-6.571219814568428,-0.4911061177272552,0.4911061177272552,-0.476839542388916,0.476839542388916,0.705332903871414,-0.705332903871414,3,1.0,0
23.14,10.952656204888179,-6.570258397704415,-0.4879061231631988,0.4879061231631988,-0.4736395478248596,0.4736395478248596,0.705332903871414,-0.705332903871414,3,1.0,0
23.16,10.82124183428589,-6.569305727245219,-0.4847061285991424,0.4847061285991424,-0.4704395532608032,0.4704395532608032,0.705332903871414,-0.705332903871414,3,1.0,0
23.18,10.68984642004125,-6.568361789415261,-0.481506134035086,0.481506134035086,-0.4672395586967468,0.4672395586967468,0.705332903871414,-0.705332903871414,3,1.0,0
23.2,10.558469787628955,-6.567426570589096,-0.4783061394710296,0.4783061394710296,-0.46403956413269043,0.46403956413269043,0.705332903871414,-0.705332903871414,3,1.0,0
23.22,10.427111762794565,-6.5665000572909245,-0.4751061449069732,0.4751061449069732,-0.46083956956863403,0.46083956956863403,0.705332903871414,-0.705332903871414,3,1.0,0
23.240000000000002,10.295772171551516,-6.565582236194138,-0.47190615034291683,0.47190615034291683,-0.45763957500457764,0.45763957500457764,0.705332903871414,-0.705332903871414,3,1.0,0
23.26,10.164450840178137,-6.5646730941208,-0.46870615577886043,0.46870615577886043,-0.45443958044052124,0.45443958044052124,0.705332903871414,-0.705332903871414,3,1.0,0
23.28,10.033147595214686,-6.563772618041147,-0.46550616121480404,0.46550616121480404,-0.45123958587646484,0.45123958587646484,0.705332903871414,-0.705332903871414,3,1.0,0
23.3,9.901862263460389,-6.562880795073144,-0.46230616665074764,0.46230616665074764,-0.44803959131240845,0.44803959131240845,0.705332903871414,-0.705332903871414,3,1.0,0
23.32,9.770594671970493,-6.561997612482002,-0.45910617208669124,0.45910617208669124,-0.44483959674835205,0.44483959674835205,0.705332903871414,-0.705332903871414,3,1.0,0
23.34,9.639344648053315,-6.56112305767969,-0.45590617752263485,0.45590617752263485,-0.44163960218429565,0.44163960218429565,0.705332903871414,-0.705332903871414,3,1.0,0
23.36,9.50811201926733,-6.560257118224489,-0.45270618295857845,0.45270618295857845,-0.43843960762023926,0.43843960762023926,0.705332903871414,-0.705332903871414,3,1.0,0
23.38,9.376896613418237,-6.559399781820533,-0.44950618839452205,0.44950618839452205,-0.43523961305618286,0.43523961305618286,0.705332903871414,-0.705332903871414,3,1.0,0
23.400000000000002,9.245698258556049,-6.558551036317352,-0.44630619383046566,0.44630619383046566,-0.43203961849212646,0.43203961849212646,0.705332903871414,-0.705332903871414,3,1.0,0
23.42,9.114516782972188,-6.55771086970942,-0.44310619926640926,0.44310619926640926,-0.42883962392807007,0.42883962392807007,0.705332903871414,-0.705332903871414,3,1.0,0
23.44,8.983352015196598,-6.5568792701357115,-0.43990620470235287,0.43990620470235287,-0.42563962936401367,0.42563962936401367,0.705332903871414,-0.705332903871414,3,1.0,0
23.46,8.85220378399485,-6.5560562258792405,-0.43670621013829647,0.43670621013829647,-0.4224396347999573,0.4224396347999573,0.705332903871414,-0.705332903871414,3,1.0,0
23.48,8.721071918365272,-6.555241725366646,-0.4335062155742401,0.4335062155742401,-0.4192396402359009,0.4192396402359009,0.705332903871414,-0.705332903871414,3,1.0,0
23.5,8.589956247536076,-6.554435757167772,-0.4303062210101837,0.4303062210101837,-0.4160396456718445,0.4160396456718445,0.705332903871414,-0.705332903871414,3,1.0,0
23.52,8.458856600962505,-6.553638309995189,-0.4271062264461273,0.4271062264461273,-0.4128396511077881,0.4128396511077881,0.705332903871414,-0.705332903871414,3,1.0,0
23.54,8.32777280832398,-6.552849372703815,-0.4239062318820709,0.4239062318820709,-0.4096396565437317,0.4096396565437317,0.705332903871414,-0.705332903871414,3,1.0,0
23.56,8.196704699521256,-6.552068934290516,-0.4207062373180145,0.4207062373180145,-0.4064396619796753,0.4064396619796753,0.705332903871414,-0.705332903871414,3,1.0,0
23.580000000000002,8.065652104673587,-6.551296983893637,-0.4175062427539581,0.4175062427539581,-0.4032396674156189,0.4032396674156189,0.705332903871414,-0.705332903871414,3,1.0,0
23.6,7.934614854115896,-6.550533510792618,-0.4143062481899017,0.4143062481899017,-0.4000396728515625,0.4000396728515625,0.705332903871414,-0.705332903871414,3,1.0,0
23.62,7.803592778395971,-6.54977850440755,-0.4111062536258453,0.4111062536258453,-0.3968396782875061,0.3968396782875061,0.705332903871414,-0.705332903871414,3,1.0,0
23.64,7.672585708271644,-6.549031954298859,-0.4079062590617889,0.4079062590617889,-0.3936396837234497,0.3936396837234497,0.705332903871414,-0.705332903871414,3,1.0,0
23.66,7.5415934747079945,-6.548293850166823,-0.4047062644977325,0.4047062644977325,-0.3904396891593933,0.3904396891593933,0.705332903871414,-0.705332903871414,3,1.0,0
23.68,7.410615908874551,-6.547564181851254,-0.4015062699336761,0.4015062699336761,-0.3872396945953369,0.3872396945953369,0.705332903871414,-0.705332903871414,3,1.0,0
23.7,7.279652842142509,-6.5468429393310315,-0.3983062753696197,0.3983062753696197,-0.3840397000312805,0.3840397000312805,0.705332903871414,-0.705332903871414,3,1.0,0
23.72,7.148704106081952,-6.546130112723778,-0.3951062808055633,0.3951062808055633,-0.3808397054672241,0.3808397054672241,0.705332903871414,-0.705332903871414,3,1.0,0
23.740000000000002,7.01776953245908,-6.545425692285456,-0.3919062862415069,0.3919062862415069,-0.3776397109031677,0.3776397109031677,0.705332903871414,-0.705332903871414,3,1.0,0
23.76,6.886848953233449,-6.544729668409987,-0.3887062916774505,0.3887062916774505,-0.37443971633911133,0.37443971633911133,0.705332903871414,-0.705332903871414,3,1.0,0
23.78,6.75594220055521,-6.544042031628903,-0.3855062971133941,0.3855062971133941,-0.37123972177505493,0.37123972177505493,0.705332903871414,-0.705332903871414,3,1.0,0
23.8,6.625049106762367,-6.543362772610955,-0.38230630254933773,0.38230630254933773,-0.36803972721099854,0.36803972721099854,0.705332903871414,-0.705332903871414,3,1.0,0
23.82,6.494169504378031,-6.542691882161747,-0.37910630798528133,0.37910630798528133,-0.36483973264694214,0.36483973264694214,0.705332903871414,-0.705332903871414,3,1.0,0
23.84,6.363303226107692,-6.542029351223409,-0.37590631342122494,0.37590631342122494,-0.36163973808288574,0.36163973808288574,0.705332903871414,-0.705332903871414,3,1.0,0
23.86,6.232450104836487,-6.541375170874214,-0.37270631885716854,0.37270631885716854,-0.35843974351882935,0.35843974351882935,0.705332903871414,-0.705332903871414,3,1.0,0
23.88,6.101609973626483,-6.540729332328245,-0.36950632429311214,0.36950632429311214,-0.35523974895477295,0.35523974895477295,0.705332903871414,-0.705332903871414,3,1.0,0
23.900000000000002,5.970782665713966,-6.540091826935023,-0.36630632972905575,0.36630632972905575,-0.35203975439071655,0.35203975439071655,0.705332903871414,-0.705332903871414,3,1.0,0
23.92,5.839968014506732,-6.539462646179208,-0.36310633516499935,0.36310633516499935,-0.34883975982666016,0.34883975982666016,0.705332903871414,-0.705332903871414,3,1.0,0
23.94,5.7091658535813865,-6.538841781680208,-0.35990634060094295,0.35990634060094295,-0.34563976526260376,0.34563976526260376,0.705332903871414,-0.705332903871414,3,1.0,0
23.96,5.578376016680662,-6.538229225191896,-0.35670634603688656,0.35670634603688656,-0.34243977069854736,0.34243977069854736,0.705332903871414,-0.705332903871414,3,1.0,0
23.98,5.447598337710719,-6.537624968602232,-0.35350635147283016,0.35350635147283016,-0.33923977613449097,0.33923977613449097,0.705332903871414,-0.705332903871414,3,1.0,0
24.0,5.316832650738481,-6.537029003932976,-0.35030635690877376,0.35030635690877376,-0.33603978157043457,0.33603978157043457,0.705332903871414,-0.705332903871414,3,1.0,0
24.02,5.18607878998895,-6.536441323339356,-0.34710636234471737,0.34710636234471737,-0.3328397870063782,0.3328397870063782,0.705332903871414,-0.705332903871414,3,1.0,0
24.04,5.055336589842547,-6.5358619191097365,-0.34390636778066097,0.34390636778066097,-0.3296397924423218,0.3296397924423218,0.705332903871414,-0.705332903871414,3,1.0,0
24.060000000000002,4.924605884832449,-6.5352907836653085,-0.3407063732166046,0.3407063732166046,-0.3264397978782654,0.3264397978782654,0.705332903871414,-0.705332903871414,3,1.0,0
24.080000000000002,4.7938865096419425,-6.534727909559798,-0.3375063786525482,0.3375063786525482,-0.323239803314209,0.323239803314209,0.705332903871414,-0.705332903871414,3,1.0,0
24.1,4.663178299101767,-6.534173289479155,-0.3343063840884918,0.3343063840884918,-0.3200398087501526,0.3200398087501526,0.705332903871414,-0.705332903871414,3,1.0,0
24.12,4.532481088187476,-6.5336269162412295,-0.3311063895244354,0.3311063895244354,-0.3168398141860962,0.3168398141860962,0.705332903871414,-0.705332903871414,3,1.0,0
24.14,4.401794712016806,-6.533088782795501,-0.327906394960379,0.327906394960379,-0.3136398196220398,0.3136398196220398,0.705332903871414,-0.705332903871414,3,1.0,0
24.16,4.271119005847044,-6.532558882222767,-0.3247064003963226,0.3247064003963226,-0.3104398250579834,0.3104398250579834,0.705332903871414,-0.705332903871414,3,1.0,0
24.18,4.140453805072401,-6.532037207734868,-0.3215064058322662,0.3215064058322662,-0.307239830493927,0.307239830493927,0.705332903871414,-0.705332903871414,3,1.0,0
24.2,4.009798945221396,-6.531523752674375,-0.3183064112682098,0.3183064112682098,-0.3040398359298706,0.3040398359298706,0.705332903871414,-0.705332903871414,3,1.0,0
24.22,3.87915426195425,-6.531018510514324,-0.3151064167041534,0.3151064167041534,-0.3008398413658142,0.3008398413658142,0.705332903871414,-0.705332903871414,3,1.0,0
24.240000000000002,3.748519591060273,-6.530521474857956,-0.311906422140097,0.311906422140097,-0.2976398468017578,0.2976398468017578,0.705332903871414,-0.705332903871414,3,1.0,0
24.26,3.6178947684552636,-6.530032639438426,-0.3087064275760406,0.3087064275760406,-0.2944398522377014,0.2944398522377014,0.705332903871414,-0.705332903871414,3,1.0,0
24.28,3.487279630178912,-6.529551998118531,-0.3055064330119842,0.3055064330119842,-0.291239857673645,0.291239857673645,0.705332903871414,-0.705332903871414,3,1.0,0
24.3,3.3566740123922156,-6.529079544890433,-0.3023064384479278,0.3023064384479278,-0.2880398631095886,0.2880398631095886,0.705332903871414,-0.705332903871414,3,1.0,0
24.32,3.226077751374888,-6.528615273875426,-0.2991064438838714,0.2991064438838714,-0.2848398685455322,0.2848398685455322,0.705332903871414,-0.705332903871414,3,1.0,0
24.34,3.0954906835227813,-6.528159179323649,-0.295906449319815,0.295906449319815,-0.28163987398147583,0.28163987398147583,0.705332903871414,-0.705332903871414,3,1.0,0
24.36,2.964912645345312,-6.527711255613844,-0.2927064547557586,0.2927064547557586,-0.27843987941741943,0.27843987941741943,0.705332903871414,-0.705332903871414,3,1.0,0
24.38,2.8343434734628907,-6.5272714972531025,-0.28950646019170223,0.28950646019170223,-0.27523988485336304,0.27523988485336304,0.705332903871414,-0.705332903871414,3,1.0,0
24.400000000000002,2.7037830046043596,-6.526839898876626,-0.28630646562764583,0.28630646562764583,-0.27203989028930664,0.27203989028930664,0.705332903871414,-0.705332903871414,3,1.0,0
24.42,2.573231075604429,-6.526416455247471,-0.28310647106358944,0.28310647106358944,-0.26883989572525024,0.26883989572525024,0.705332903871414,-0.705332903871414,3,1.0,0
24.44,2.4426875234011254,-6.526001161256318,-0.27990647649953304,0.27990647649953304,-0.26563990116119385,0.26563990116119385,0.705332903871414,-0.705332903871414,3,1.0,0
24.46,2.31215218503324,-6.525594011921212,-0.27670648193547664,0.27670648193547664,-0.26243990659713745,0.26243990659713745,0.705332903871414,-0.705332903871414,3,1.0,0
24.48,2.1816248976377826,-6.525195002387377,-0.27350648737142025,0.27350648737142025,-0.25923991203308105,0.25923991203308105,0.705332903871414,-0.705332903871414,3,1.0,0
