file,sha256,rows,balance_rows,motor_mode,end_reason,possible_capacity_cutoff,balance_elapsed_s,max_balance_gap_ms,measured_drift_peak_rad,tracking_within_2deg_percent,ramp_complete_s_after_engage,drift_at_ramp_rad,pre_ramp_peak_tracking_error_deg,pre_ramp_offset_at_peak_error_deg,post_ramp_peak_tracking_error_deg,post_ramp_offset_at_peak_error_deg,post_ramp_peak_s_after_engage
bal_20260412_220940.csv,725a15f9313aef6795b3519269e59984ae550ddab59616519165c84bb113fc05,636,202,legacy/unspecified,unknown,False,4.019,23.0,12.01,58.91089108910891,3.321,11.19,,,,,
bal_20260412_221620.csv,52c69f388d6265fbf849f5c0aff262a3f00637e579490cd3a97163acbb63f9e1,1322,879,legacy/unspecified,unknown,False,17.559,23.0,4.75,97.4971558589306,1.901,-3.01,,,,,
bal_20260412_222511.csv,63522a2fab70c7aee2fa345a0d4df4118970dea857aa7054cbeb562530c187d3,1501,1058,legacy/unspecified,unknown,False,24.323,3216.0,12.24,86.01134215500946,2.28,11.85,,,,,
bal_20260412_224607.csv,6654663b268c42fc2a5c52a1ce2b0985a18f38ef34462c738933c58388ffb3d8,1353,919,legacy/unspecified,unknown,False,18.359,23.0,11.89,87.48639825897715,2.14,9.63,,,,,
bal_20260412_224949.csv,1210fe4191499c0a004d964214c89491c8a63ea0754b741cdb2f6080aa8ec83a,1214,773,legacy/unspecified,unknown,False,19.692,4284.0,26.45,65.07115135834411,1.48,0.76,,,,,
bal_20260412_225413.csv,44ade74294ecd009e9cef29d7151f7f6bb63f298e4c2ef26a871cb56994c3278,1137,696,legacy/unspecified,unknown,False,13.899,22.0,11.78,81.46551724137932,2.261,9.5,,,,,
bal_20260412_225745.csv,c3e4ea3b788585d8383fa20e459d260d681d45843826f1668dffad416f3becb8,1435,994,legacy/unspecified,unknown,False,19.859,23.0,10.82,55.63380281690141,2.0,1.41,,,,,
bal_20260412_230134.csv,225c570ecbc74b03be0dfcb287acc39ce1cce6e6a62c4f171520adc24f95dcf0,2041,1600,legacy/unspecified,unknown,False,31.979,23.0,10.33,36.1875,2.619,5.75,,,,,
bal_20260412_230544.csv,8fac5b4e72b673632b9d1445a9a9d01e199422c4ba749ef5c10886e88edc95e9,1062,621,legacy/unspecified,unknown,False,14.114,1749.0,11.35,36.231884057971016,2.659,6.63,,,,,
bal_20260412_230929.csv,27d47e21e1d9fb7561a8524e9579d46858eb9f9e175f7f55f633216e81786d07,1582,1141,legacy/unspecified,unknown,False,22.8,23.0,10.28,62.40140227870289,2.159,10.0,,,,,
